step,w,k,output_code,dict_index,dict_symbol
352,s ,o,268,607,s o
353,of ,L,401,608,of L
354,Lore,m,545,609,Lorem
355,m I,p,324,610,m Ip
356,psu,m,548,611,psum
357,m,.,109,612,m.
358,.,"
",46,613,".
"
359,"
",I,10,614,"
I"
360,It, ,435,615,It 
361, i,s,337,616, is
362,s ,a,268,617,s a
363,a ,l,422,618,a l
364,l,o,108,619,lo
365,on,g,447,620,ong
366,g ,e,299,621,g e
367,es,t,307,622,est
368,ta,b,541,623,tab
369,bli,s,573,624,blis
370,s,h,115,625,sh
371,he,d,290,626,hed
372,d ,f,303,627,d f
373,f,a,102,628,fa
374,a,c,97,629,ac
375,ct, ,476,630,ct 
376, th,a,335,631, tha
377,a,t,97,632,at
378,t a, ,462,633,t a 
379, ,r,32,634, r
380,re,a,258,635,rea
381,a,d,97,636,ad
382,d,e,100,637,de
383,er ,w,596,638,er w
384,wi,l,565,639,wil
385,ll, ,397,640,ll 
386, b,e,430,641, be
387,e ,d,291,642,e d
388,di,s,601,643,dis
389,str,a,340,644,stra
390,ac,t,629,645,act
391,te,d,281,646,ted
392,d ,b,303,647,d b
393,b,y,98,648,by
394,y t,h,280,649,y th
395,he ,r,336,650,he r
396,rea,d,635,651,read
397,da,b,346,652,dab
398,bl,e,411,653,ble
399,e c,o,453,654,e co
400,ont,e,540,655,onte
401,en,t,333,656,ent
402,t o,f,446,657,t of
403,f ,a,287,658,f a
404,a ,p,422,659,a p
405,p,a,112,660,pa
406,age, ,592,661,age 
407, w,h,372,662, wh
408,hen, ,374,663,hen 
409, l,o,582,664, lo
410,ook,i,432,665,ooki
411,ing ,a,489,666,ing a
412,at, ,632,667,at 
413, i,t,337,668, it
414,t,s,116,669,ts
415,s ,l,268,670,s l
416,la,y,511,671,lay
417,y,o,121,672,yo
418,o,u,111,673,ou
419,ut,.,461,674,ut.
420,. ,T,320,675,. T
421,T,h,84,676,Th
422,he ,p,336,677,he p
423,p,o,112,678,po
424,o,i,111,679,oi
425,int, ,386,680,int 
426, of, ,529,681, of 
427, u,s,377,682, us
428,si,n,270,683,sin
429,ng, ,312,684,ng 
430, L,o,321,685, Lo
431,ore,m,559,686,orem
432,m Ip,s,610,687,m Ips
433,sum, ,326,688,sum 
434, is, ,616,689, is 
435, tha,t,631,690, that
436,t ,i,284,691,t i
437,it, ,414,692,it 
438, ,h,32,693, h
439,has, ,437,694,has 
440, a ,m,393,695, a m
441,mo,r,558,696,mor
442,re,-,258,697,re-
443,-,o,45,698,-o
444,or,-,257,699,or-
445,-,l,45,700,-l
446,le,s,398,701,les
447,s,s,115,702,ss
448,s ,n,268,703,s n
449,no,r,381,704,nor
450,r,m,114,705,rm
451,ma,l,418,706,mal
452,l, ,108,707,l 
453, d,i,276,708, di
454,is,t,267,709,ist
455,tr,i,317,710,tri
456,i,b,105,711,ib
457,bu,t,460,712,but
458,ti,o,297,713,tio
459,on, ,447,714,on 
460, of ,l,681,715, of l
461,le,t,398,716,let
462,tt,e,310,717,tte
463,er,s,358,718,ers
464,"s,", ,370,719,"s, "
465, a,s,300,720, as
466,s o,p,607,721,s op
467,p,p,112,722,pp
468,po,s,678,723,pos
469,se,d,308,724,sed
470,d ,t,303,725,d t
471,to ,u,416,726,to u
472,us,i,339,727,usi
473,ing ,',489,728,ing '
474,',C,39,729,'C
475,C,o,67,730,Co
476,onte,n,655,731,onten
477,nt, ,296,732,nt 
478, h,e,693,733, he
479,er,e,358,734,ere
480,e,",",101,735,"e,"
481,", ",c,371,736,", c"
482,co,n,539,737,con
483,nt,e,296,738,nte
484,ent, ,656,739,ent 
485, he,r,733,740, her
486,re,',258,741,re'
487,',",",39,742,"',"
488,", ",m,371,743,", m"
489,ma,k,418,744,mak
490,k,i,107,745,ki
491,ing ,i,489,746,ing i
492,it ,l,692,747,it l
493,lo,o,619,748,loo
494,ok, ,391,749,ok 
495, l,i,582,750, li
496,ik,e,584,751,ike
497,e r,e,560,752,e re
498,e,a,101,753,ea
499,ad,a,636,754,ada
500,a,b,97,755,ab
501,ble, ,653,756,ble 
502, ,E,32,757, E
503,E,n,69,758,En
504,ng,l,312,759,ngl
505,li,s,583,760,lis
506,sh,.,625,761,sh.
507,. ,M,320,762,. M
508,Ma,n,594,763,Man
509,n,y,110,764,ny
510,y ,d,275,765,y d
511,de,s,637,766,des
512,s,k,115,767,sk
513,kt,o,569,768,kto
514,op, ,508,769,op 
515, p,u,292,770, pu
516,u,b,117,771,ub
517,blis,h,624,772,blish
518,hi,n,575,773,hin
519,ng ,p,684,774,ng p
520,pa,c,660,775,pac
521,c,k,99,776,ck
522,k,a,107,777,ka
523,age,s,592,778,ages
524,s a,n,617,779,s an
525,nd ,w,405,780,nd w
526,w,e,119,781,we
527,e,b,101,782,eb
528,b, ,98,783,b 
529, pa,g,550,784, pag
530,ge, ,554,785,ge 
531, e,d,490,786, ed
532,di,t,601,787,dit
533,to,r,389,788,tor
534,rs, ,604,789,rs 
535, ,n,32,790, n
536,no,w,381,791,now
537,w, ,119,792,w 
538, us,e,682,793, use
539,e ,L,291,794,e L
540,Lorem, ,609,795,Lorem 
541, Ip,s,547,796, Ips
542,sum ,a,688,797,sum a
543,as ,t,506,798,as t
544,the,i,364,799,thei
545,i,r,105,800,ir
546,r ,d,359,801,r d
547,de,f,637,802,def
548,fa,u,628,803,fau
549,ul,t,510,804,ult
550,t ,m,284,805,t m
551,mo,d,558,806,mod
552,de,l,637,807,del
553,l ,t,707,808,l t
554,te,x,281,809,tex
555,xt,",",283,810,"xt,"
556,", ",a,371,811,", a"
557,and, ,345,812,and 
558, a ,s,393,813, a s
559,se,a,308,814,sea
560,ar,c,347,815,arc
561,ch, ,498,816,ch 
562, f,o,450,817, fo
563,or, ,257,818,or 
564, ,',32,819, '
565,',l,39,820,'l
566,lo,r,619,821,lor
567,rem, ,323,822,rem 
568, i,p,337,823, ip
569,psum,',611,824,psum'
570,', ,39,825,' 
571, wi,l,522,826, wil
572,ll ,u,640,827,ll u
573,unc,o,497,828,unco
574,o,v,111,829,ov
575,ver, ,603,830,ver 
576, m,a,417,831, ma
577,an,y,301,832,any
578,y ,w,275,833,y w
579,we,b,781,834,web
580,b ,s,783,835,b s
581,si,t,270,836,sit
582,te,s,281,837,tes
583,s s,t,343,838,s st
584,ti,l,297,839,til
585,ll ,i,640,840,ll i
586,in, ,295,841,in 
587, the,i,466,842, thei
588,ir, ,800,843,ir 
589, in,f,471,844, inf
590,fa,n,628,845,fan
591,n,c,110,846,nc
592,c,y,99,847,cy
593,y., ,319,848,y. 
594, ,V,32,849, V
595,V,a,86,850,Va
596,ari,o,512,851,ario
597,ou,s,673,852,ous
598,s ,v,268,853,s v
599,ver,s,603,854,vers
600,sio,n,605,855,sion
601,n,s,110,856,ns
602,s ,h,268,857,s h
603,ha,v,328,858,hav
604,ve, ,357,859,ve 
605, e,v,490,860, ev
606,v,o,118,861,vo
607,o,l,111,862,ol
608,l,v,108,863,lv
609,ved, ,443,864,ved 
610, o,v,285,865, ov
611,ver ,t,830,866,ver t
612,the, ,364,867,the 
613, ,y,32,868, y
614,y,e,121,869,ye
615,ea,r,753,870,ear
616,rs,",",604,871,"rs,"
617,", ",s,371,872,", s"
618,so,m,464,873,som
619,m,e,109,874,me
620,et,i,309,875,eti
621,ime,s,428,876,imes
622,s b,y,330,877,s by
623,y ,a,275,878,y a
624,ac,c,629,879,acc
625,ci,d,427,880,cid
626,de,n,637,881,den
627,nt,",",296,882,"nt,"
628,", s",o,872,883,", so"
629,o,m,111,884,om
630,me,t,874,885,met
631,ti,m,297,886,tim
632,me,s,874,887,mes
633,s o,n,607,888,s on
634,n p,u,384,889,n pu
635,ur,p,439,890,urp
636,pos,e,723,891,pose
637,e ,(,291,892,e (
638,(,i,40,893,(i
639,in,j,295,894,inj
640,j,e,106,895,je
641,e,c,101,896,ec
642,ct,e,476,897,cte
643,ed ,h,514,898,ed h
644,h,u,104,899,hu
645,um,o,265,900,umo
646,ou,r,673,901,our
647,r ,a,359,902,r a
648,and ,t,812,903,and t
649,the ,l,867,904,the l
650,li,k,583,905,lik
651,ke,),420,906,ke)
652,),.,41,907,).
653,".
",I,613,908,".
I"
654,It ,i,615,909,It i
655,is, ,267,910,is 
656, a ,l,393,911, a l
657,lo,n,619,912,lon
658,ng ,e,684,913,ng e
659,est,a,622,914,esta
660,ab,l,755,915,abl
661,lis,h,760,916,lish
662,hed, ,626,917,hed 
663, f,a,450,918, fa
664,act, ,645,919,act 
665, that, ,690,920, that 
666, a ,r,393,921, a r
667,read,e,651,922,reade
668,er w,i,638,923,er wi
669,i,l,105,924,il
670,ll ,b,640,925,ll b
671,be, ,331,926,be 
672, di,s,708,927, dis
673,stra,c,644,928,strac
674,cte,d,897,929,cted
675,d b,y,647,930,d by
676,y th,e,649,931,y the
677,e re,a,752,932,e rea
678,ada,b,754,933,adab
679,ble ,c,756,934,ble c
680,con,t,737,935,cont
681,te,n,281,936,ten
682,nt ,o,732,937,nt o
683,of ,a,401,938,of a
684,a p,a,659,939,a pa
685,age ,w,661,940,age w
686,wh,e,373,941,whe
687,en ,l,429,942,en l
688,loo,k,748,943,look
689,ki,n,745,944,kin
690,ng ,a,684,945,ng a
691,at ,i,667,946,at i
692,it,s,414,947,its
693,s l,a,670,948,s la
694,a,y,97,949,ay
695,yo,u,672,950,you
696,ut., ,674,951,ut. 
697, ,T,32,952, T
698,Th,e,676,953,The
699,e ,p,291,954,e p
700,po,i,678,955,poi
701,int ,o,680,956,int o
702,of ,u,401,957,of u
703,usi,n,727,958,usin
704,ng ,L,684,959,ng L
705,Lorem ,I,795,960,Lorem I
706,Ips,u,325,961,Ipsu
707,um ,i,549,962,um i
708,is ,t,910,963,is t
709,th,a,289,964,tha
710,at i,t,946,965,at it
711,t h,a,436,966,t ha
712,as ,a,506,967,as a
713,a ,m,422,968,a m
714,mor,e,696,969,more
715,e,-,101,970,e-
716,-o,r,698,971,-or
717,r,-,114,972,r-
718,-l,e,700,973,-le
719,ess, ,491,974,ess 
720, n,o,790,975, no
721,or,m,257,976,orm
722,mal, ,706,977,mal 
723, dis,t,927,978, dist
724,tri,b,710,979,trib
725,but,i,712,980,buti
726,i,o,105,981,io
727,on ,o,714,982,on o
728,of ,l,401,983,of l
729,let,t,716,984,lett
730,ter,s,387,985,ters
731,"s, ",a,719,986,"s, a"
732,as ,o,506,987,as o
733,op,p,508,988,opp
734,pose,d,891,989,posed
735,d t,o,725,990,d to
736,o ,u,465,991,o u
737,usin,g,958,992,using
738,g ,',299,993,g '
739,'C,o,729,994,'Co
740,onten,t,731,995,ontent
741,t h,e,436,996,t he
742,ere,",",734,997,"ere,"
743,", c",o,736,998,", co"
744,ontent, ,995,999,ontent 
745, her,e,740,1000, here
746,e,',101,1001,e'
747,"',", ,742,1002,"', "
748, ma,k,831,1003, mak
749,kin,g,944,1004,king
750,g i,t,313,1005,g it
751,t ,l,284,1006,t l
752,look, ,943,1007,look 
753, li,k,750,1008, lik
754,ke ,r,585,1009,ke r
755,read,a,651,1010,reada
756,abl,e,915,1011,able
757,e ,E,291,1012,e E
758,En,g,758,1013,Eng
759,g,l,103,1014,gl
760,lish,.,916,1015,lish.
761,. M,a,762,1016,. Ma
762,any, ,832,1017,any 
763, de,s,567,1018, des
764,sk,t,767,1019,skt
765,top, ,570,1020,top 
766, pu,b,770,1021, pub
767,blish,i,772,1022,blishi
768,ing ,p,489,1023,ing p
769,pac,k,775,1024,pack
770,ka,g,777,1025,kag
771,ge,s,554,1026,ges
772,s an,d,779,1027,s and
773,d ,w,303,1028,d w
774,web, ,834,1029,web 
775, pag,e,784,1030, page
776,e ,e,291,1031,e e
777,ed,i,501,1032,edi
778,it,o,414,1033,ito
779,or,s,257,1034,ors
780,s n,o,703,1035,s no
781,ow, ,382,1036,ow 
782, use, ,793,1037, use 
783, Lo,r,685,1038, Lor
784,rem ,I,822,1039,rem I
785,Ipsu,m,961,1040,Ipsum
786,m ,a,260,1041,m a
787,as t,h,798,1042,as th
788,he,i,290,1043,hei
789,ir ,d,843,1044,ir d
790,def,a,802,1045,defa
791,a,u,97,1046,au
792,ult, ,804,1047,ult 
793, m,o,417,1048, mo
794,o,d,111,1049,od
795,del, ,807,1050,del 
796, te,x,353,1051, tex
797,"xt,", ,810,1052,"xt, "
798, and, ,556,1053, and 
799, a s,e,813,1054, a se
800,ear,c,870,1055,earc
801,ch ,f,816,1056,ch f
802,f,o,102,1057,fo
803,or ,',818,1058,or '
804,'l,o,820,1059,'lo
805,orem, ,686,1060,orem 
806, ip,s,823,1061, ips
807,sum,',326,1062,sum'
808,' ,w,825,1063,' w
809,wil,l,639,1064,will
810,l ,u,707,1065,l u
811,unco,v,828,1066,uncov
812,ver ,m,830,1067,ver m
813,ma,n,418,1068,man
814,ny, ,764,1069,ny 
815, w,e,372,1070, we
816,eb, ,782,1071,eb 
817, si,t,360,1072, sit
818,tes, ,837,1073,tes 
819, s,t,269,1074, st
820,til,l,839,1075,till
821,l ,i,707,1076,l i
822,in ,t,841,1077,in t
823,thei,r,799,1078,their
824,r ,i,359,1079,r i
825,in,f,295,1080,inf
826,fan,c,845,1081,fanc
827,cy,.,847,1082,cy.
828,. ,V,320,1083,. V
829,Va,r,850,1084,Var
830,ri,o,294,1085,rio
831,ous, ,852,1086,ous 
832, ,v,32,1087, v
833,vers,i,854,1088,versi
834,io,n,981,1089,ion
835,ns, ,856,1090,ns 
836, h,a,693,1091, ha
837,a,v,97,1092,av
838,ve ,e,859,1093,ve e
839,ev,o,356,1094,evo
840,ol,v,862,1095,olv
841,ved ,o,864,1096,ved o
842,ov,e,829,1097,ove
843,er ,t,596,1098,er t
844,the ,y,867,1099,the y
845,ye,a,869,1100,yea
846,ar,s,347,1101,ars
847,"s, ",s,719,1102,"s, s"
848,som,e,873,1103,some
849,eti,m,875,1104,etim
850,mes, ,887,1105,mes 
851, b,y,430,1106, by
852,y a,c,878,1107,y ac
853,c,c,99,1108,cc
854,cid,e,880,1109,cide
855,ent,",",656,1110,"ent,"
856,", so",m,883,1111,", som"
857,met,i,885,1112,meti
858,imes, ,876,1113,imes 
859, o,n,285,1114, on
860,n pu,r,889,1115,n pur
861,r,p,114,1116,rp
862,pose, ,891,1117,pose 
863, ,(,32,1118, (
864,(i,n,893,1119,(in
865,n,j,110,1120,nj
866,je,c,895,1121,jec
867,cted, ,929,1122,cted 
868, h,u,693,1123, hu
869,umo,u,900,1124,umou
870,ur, ,439,1125,ur 
871, and ,t,1053,1126, and t
872,the l,i,904,1127,the li
873,ike,),751,1128,ike)
874,).,"
",907,1129,").
"
875,"
",T,10,1130,"
T"
876,The,r,953,1131,Ther
877,re ,a,581,1132,re a
878,ar,e,347,1133,are
879,e ,m,291,1134,e m
880,man,y,1068,1135,many
881,y ,v,275,1136,y v
882,v,a,118,1137,va
883,ari,a,512,1138,aria
884,at,i,632,1139,ati
885,ion,s,1089,1140,ions
886,s o,f,607,1141,s of
887,f ,p,287,1142,f p
888,pa,s,660,1143,pas
889,ss,a,702,1144,ssa
890,ages, ,778,1145,ages 
891, of ,L,681,1146, of L
892,Lorem I,p,960,1147,Lorem Ip
893,psum, ,611,1148,psum 
894, a,v,300,1149, av
895,va,i,1137,1150,vai
896,il,a,924,1151,ila
897,able,",",1011,1152,"able,"
898,", b",u,459,1153,", bu"
899,ut, ,461,1154,ut 
900, the ,m,516,1155, the m
901,ma,j,418,1156,maj
902,j,o,106,1157,jo
903,or,i,257,1158,ori
904,it,y,414,1159,ity
905,y ,h,275,1160,y h
906,hav,e,858,1161,have
907,e s,u,424,1162,e su
908,u,f,117,1163,uf
909,f,f,102,1164,ff
910,f,e,102,1165,fe
911,ere,d,734,1166,ered
912,d ,a,303,1167,d a
913,al,t,396,1168,alt
914,ter,a,387,1169,tera
915,ati,o,1139,1170,atio
916,on ,i,714,1171,on i
917,in ,s,841,1172,in s
918,some, ,1103,1173,some 
919, fo,r,817,1174, for
920,rm,",",705,1175,"rm,"
921,", b",y,459,1176,", by"
922,y ,i,275,1177,y i
923,inj,e,894,1178,inje
924,ec,t,896,1179,ect
925,ted, ,646,1180,ted 
926, hu,m,1123,1181, hum
927,mo,u,558,1182,mou
928,ur,",",439,1183,"ur,"
929,", ",o,371,1184,", o"
930,or ,r,818,1185,or r
931,ra,n,408,1186,ran
932,nd,o,302,1187,ndo
933,om,i,884,1188,omi
934,ise,d,513,1189,ised
935,d w,o,1028,1190,d wo
936,or,d,257,1191,ord
937,d,s,100,1192,ds
938,s ,w,268,1193,s w
939,wh,i,373,1194,whi
940,ic,h,479,1195,ich
941,h ,d,524,1196,h d
942,d,o,100,1197,do
943,on,',447,1198,on'
944,',t,39,1199,'t
945,t l,o,1006,1200,t lo
946,ook, ,432,1201,ook 
947, ev,e,860,1202, eve
948,en ,s,429,1203,en s
949,s,l,115,1204,sl
950,li,g,583,1205,lig
951,g,h,103,1206,gh
952,h,t,104,1207,ht
953,tl,y,563,1208,tly
954,y ,b,275,1209,y b
955,be,l,331,1210,bel
956,li,e,583,1211,lie
957,ev,a,356,1212,eva
958,able,.,1011,1213,able.
959,. I,f,434,1214,. If
960,f ,y,287,1215,f y
961,you, ,950,1216,you 
962, a,r,300,1217, ar
963,re ,g,581,1218,re g
964,g,o,103,1219,go
965,oi,n,679,1220,oin
966,ng ,t,684,1221,ng t
967,to u,s,726,1222,to us
968,se ,a,528,1223,se a
969,a pa,s,939,1224,a pas
970,ssa,g,1144,1225,ssag
971,ge ,o,785,1226,ge o
972,of L,o,608,1227,of Lo
973,orem ,I,1060,1228,orem I
974,Ipsum,",",1040,1229,"Ipsum,"
975,", ",y,371,1230,", y"
976,you ,n,1216,1231,you n
977,n,e,110,1232,ne
978,ee,d,332,1233,eed
979,d to, ,990,1234,d to 
980, be, ,641,1235, be 
981, s,u,269,1236, su
982,ur,e,439,1237,ure
983,e t,h,363,1238,e th
984,he,r,290,1239,her
985,re ,i,581,1240,re i
986,is,n,267,1241,isn
987,n,',110,1242,n'
988,'t, ,1199,1243,'t 
989, an,y,404,1244, any
990,y,t,121,1245,yt
991,th,i,289,1246,thi
992,ing ,e,489,1247,ing e
993,em,b,259,1248,emb
994,b,a,98,1249,ba
995,ar,r,347,1250,arr
996,ras,s,533,1251,rass
997,sin,g,683,1252,sing
998,g ,h,299,1253,g h
999,hi,d,575,1254,hid
1000,d,d,100,1255,dd
1001,den, ,881,1256,den 
1002, in ,t,515,1257, in t
1003,the ,m,867,1258,the m
1004,m,i,109,1259,mi
1005,i,d,105,1260,id
1006,dd,l,1255,1261,ddl
